topology,traffic,vc_mode,vcs,queues,diameter,bisection,offered_rate,accepted_throughput,avg_latency,max_latency,avg_hops,bg_latency,hot_latency,bg_throughput,hot_throughput,m_generated,m_delivered,unretired,dropped_full,peak_queue,conservation_ok,saturated
ring,uniform,baseline_vc2,2,1,8,2,0.0200,0.020000,8.5723,17,4.3632,8.5723,0.0000,0.020000,0.000000,961,961,0,0,1,1,0
ring,uniform,baseline_vc2,2,1,8,2,0.0500,0.050833,9.0012,23,4.2321,9.0012,0.0000,0.050833,0.000000,2439,2439,0,0,2,1,0
ring,uniform,baseline_vc2,2,1,8,2,0.0800,0.080953,9.6789,33,4.2447,9.6789,0.0000,0.080953,0.000000,3883,3883,0,0,3,1,0
ring,uniform,baseline_vc2,2,1,8,2,0.1100,0.109578,10.7706,45,4.3240,10.7706,0.0000,0.109578,0.000000,5262,5262,0,0,3,1,0
ring,uniform,baseline_vc2,2,1,8,2,0.1400,0.138849,11.9322,75,4.2392,11.9322,0.0000,0.138849,0.000000,6663,6663,0,0,5,1,0
ring,uniform,baseline_vc2,2,1,8,2,0.1700,0.169073,14.0227,102,4.2672,14.0227,0.0000,0.169073,0.000000,8114,8114,0,0,6,1,0
ring,uniform,baseline_vc2,2,1,8,2,0.2000,0.200026,18.6346,166,4.2658,18.6346,0.0000,0.200026,0.000000,9592,9592,0,0,8,1,0
ring,uniform,baseline_vc2,2,1,8,2,0.2400,0.239307,33.6433,262,4.2594,33.6433,0.0000,0.239307,0.000000,11467,11467,0,0,17,1,0
ring,uniform,baseline_vc2,2,1,8,2,0.2800,0.267464,498.9643,2123,4.2627,498.9643,0.0000,0.267464,0.000000,13468,13468,0,0,139,1,0
ring,uniform,baseline_vc2,2,1,8,2,0.3200,0.272401,1610.4297,4012,4.2779,1610.4297,0.0000,0.272401,0.000000,15336,15336,0,0,290,1,1
ring,uniform,baseline_vc2,2,1,8,2,0.3600,0.268156,3167.0527,6460,4.2826,3167.0527,0.0000,0.268156,0.000000,17254,17254,0,0,501,1,1
